French,English
partie,part
histoire,history
chercher,search
pensais,thought
aide,help
mois,month
laisser,let
mettre,to put
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
attention,Warning
voici,here is
pourrais,could
type,type
train,train
corps,body
endroit,place
écoute,listen
trouve,find
premier,first
perdu,lost
première,first
sois,be
tiens,here
matin,morning
tellement,so much
venu,came
suite,after
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
arrêter,Stop
compte,account
loin,far
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
